task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	fe/d42d87	3440519	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2023-10-18 17:31:19.792	6.5s	6s	158.4%	1.3 GB	1.8 GB	36.7 MB	7.5 MB
26	e5/b09938	3441133	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2023-10-18 17:31:37.436	24.5s	24s	382.4%	94.1 MB	904.6 MB	92.8 MB	84.5 MB
24	bb/37de18	3443755	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2023-10-18 17:32:01.906	49.7s	49s	386.4%	109.7 MB	785.9 MB	116.8 MB	107.1 MB
18	e4/13b759	3441122	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2023-10-18 17:31:37.309	1m 15s	1m 14s	388.3%	112 MB	915.9 MB	173.3 MB	163.5 MB
22	55/c19060	3446610	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2023-10-18 17:32:51.879	48s	47s	386.5%	133.6 MB	803 MB	92.6 MB	83.1 MB
27	21/52cb4d	3449932	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2023-10-18 17:33:39.872	1.6s	1s	191.5%	4.3 MB	9.9 MB	7.9 MB	7.4 MB
28	ee/ba7c19	3450265	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2023-10-18 17:33:41.448	1.4s	1s	200.9%	3.4 MB	7.3 MB	5.2 MB	4.6 MB
29	44/5cc43a	3450441	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2023-10-18 17:33:42.836	1.7s	1s	228.1%	151.8 MB	3.7 GB	8 MB	7.2 MB
30	5a/881db9	3450668	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-18 17:33:44.575	1.2s	1s	213.9%	3.4 MB	7.3 MB	12.1 MB	5.1 MB
31	08/7ceadc	3450949	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2023-10-18 17:33:45.778	768ms	0ms	77.1%	3.4 MB	7.3 MB	7.5 MB	5.2 KB
32	d1/94b0c1	3451107	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2023-10-18 17:33:46.552	744ms	1s	78.9%	3.3 MB	7.3 MB	4.8 MB	5.2 KB
33	33/968c1f	3451270	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2023-10-18 17:33:47.302	777ms	0ms	95.9%	3.4 MB	7.3 MB	7.3 MB	5.2 KB
34	7c/a67584	3451434	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2023-10-18 17:33:48.085	661ms	0ms	87.9%	3.5 MB	7.3 MB	5.2 MB	5.2 KB
20	94/9dcfa8	3446512	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2023-10-18 17:32:51.655	4m 17s	4m 11s	400.5%	114.5 MB	897.3 MB	820.8 MB	807.8 MB
35	ea/0a7b1e	3456412	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-18 17:37:08.769	3.8s	3s	305.0%	728.4 MB	3.7 GB	35.5 MB	32.4 MB
36	18/371965	3456752	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2023-10-18 17:37:12.559	974ms	1s	123.8%	3.4 MB	7.3 MB	32.6 MB	5.2 KB
46	1a/cff153	3456938	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2023-10-18 17:37:13.571	560ms	1s	92.2%	3.3 MB	7.3 MB	194.7 KB	5.1 KB
39	3c/253039	3456951	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2023-10-18 17:37:13.576	592ms	1s	78.1%	3.5 MB	7.6 MB	194.7 KB	5.1 KB
44	9a/cced74	3456929	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2023-10-18 17:37:13.557	632ms	1s	92.9%	3.5 MB	7.3 MB	4.8 MB	5.6 KB
45	39/67d734	3456931	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2023-10-18 17:37:13.563	736ms	1s	107.4%	3.6 MB	9.3 MB	7.3 MB	5.6 KB
38	92/8326d2	3456970	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2023-10-18 17:37:13.582	725ms	1s	110.2%	3.5 MB	7.3 MB	7.5 MB	5.6 KB
40	6d/a838d9	3457710	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2023-10-18 17:37:14.140	533ms	0ms	99.4%	3.5 MB	7.3 MB	194.7 KB	5.1 KB
41	f9/3bc33a	3457759	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2023-10-18 17:37:14.174	531ms	0ms	88.7%	3.2 MB	5.4 MB	194.7 KB	5.1 KB
50	43/c06e71	3457788	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2023-10-18 17:37:14.195	527ms	0ms	88.7%	3.4 MB	7.3 MB	194.7 KB	5.1 KB
48	4e/c79cbc	3457896	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2023-10-18 17:37:14.310	569ms	0ms	106.2%	3.4 MB	7.3 MB	5.2 MB	5.6 KB
51	96/44d733	3457891	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2023-10-18 17:37:14.304	1.1s	1s	127.4%	3.5 MB	7.3 MB	32.6 MB	5.6 KB
37	25/c86f48	3458505	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5405022)	COMPLETED	0	2023-10-18 17:37:15.001	1.2s	1s	110.1%	3.3 MB	7.3 MB	7.5 MB	94.4 KB
42	f3/427809	3458506	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5743893)	COMPLETED	0	2023-10-18 17:37:15.005	1.5s	1s	107.0%	5.6 MB	11.3 MB	4.8 MB	104.9 KB
47	ff/4158f3	3459061	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR13500958)	COMPLETED	0	2023-10-18 17:37:15.372	1.2s	1s	110.0%	3.4 MB	7.3 MB	5.2 MB	139 KB
43	0c/0ce8e4	3458518	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5556343)	COMPLETED	0	2023-10-18 17:37:15.014	1.9s	1s	108.2%	7.9 MB	211 MB	7.3 MB	104.6 KB
49	65/fbc768	3458592	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5181310)	COMPLETED	0	2023-10-18 17:37:15.062	6.7s	6s	112.1%	7.9 MB	211.4 MB	32.6 MB	99.2 KB
21	1a/686908	3459929	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2023-10-18 17:37:22.980	7.3s	6s	229.0%	366.2 MB	3.9 GB	33.1 MB	3.9 MB
14	96/629ea0	3459930	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-18 17:37:22.985	7.3s	6s	238.4%	575.8 MB	3.9 GB	32.9 MB	3.9 MB
17	1a/5d7065	3460920	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2023-10-18 17:37:30.234	7.3s	6s	232.1%	678.3 MB	3.9 GB	29.2 MB	3.8 MB
16	b5/3e7546	3460950	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-18 17:37:30.277	7.3s	6s	246.4%	415.2 MB	3.9 GB	37.2 MB	4 MB
23	78/5244de	3462060	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2023-10-18 17:37:37.560	6.2s	5s	237.6%	424.7 MB	3.9 GB	26.4 MB	3.8 MB
19	c5/f3947f	3462031	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2023-10-18 17:37:37.528	10.4s	9s	232.6%	768.5 MB	3.9 GB	60.1 MB	3.8 MB
12	c7/2e2fe6	3462933	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-18 17:37:43.809	7.4s	6s	214.4%	798.3 MB	3.9 GB	34.2 MB	3.8 MB
10	e3/4c48cf	3463497	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2023-10-18 17:37:47.889	6.4s	5s	243.0%	459.2 MB	3.9 GB	32.8 MB	3.6 MB
25	f4/b93d4d	3464392	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2023-10-18 17:37:54.330	6.7s	5s	244.8%	289.2 MB	3.9 GB	27.6 MB	3.7 MB
7	52/c0baf3	3464001	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2023-10-18 17:37:51.247	11.5s	10s	238.7%	826.5 MB	3.9 GB	73 MB	3.9 MB
55	6d/0c5ae1	3465456	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (SRR13500958)	COMPLETED	0	2023-10-18 17:38:02.717	1.7s	2s	94.3%	13.6 MB	19.6 MB	5.3 MB	5.1 MB
54	65/ba7327	3465199	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5405022)	COMPLETED	0	2023-10-18 17:38:00.994	4.5s	4s	97.9%	16.1 MB	21.9 MB	7.6 MB	7.4 MB
52	4a/2da906	3466000	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5743893)	COMPLETED	0	2023-10-18 17:38:05.477	2.3s	2s	95.8%	12.4 MB	19.9 MB	4.8 MB	4.6 MB
53	17/2113df	3466384	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5556343)	COMPLETED	0	2023-10-18 17:38:07.828	3.2s	2s	97.8%	15.7 MB	21.6 MB	7.4 MB	7.3 MB
57	8b/5d5fc3	3466854	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-18 17:38:11.040	826ms	0ms	242.3%	3.4 MB	7.3 MB	5.3 MB	5.1 MB
58	b0/dd7600	3467028	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2023-10-18 17:38:11.870	1s	0ms	272.4%	3.3 MB	7.3 MB	7.6 MB	7.4 MB
59	f4/395708	3467258	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2023-10-18 17:38:12.884	974ms	0ms	255.4%	3.4 MB	7.3 MB	4.7 MB	4.6 MB
60	09/b7c450	3467491	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2023-10-18 17:38:13.865	1.3s	1s	267.6%	3.4 MB	7.3 MB	7.4 MB	7.2 MB
62	e1/021dab	3467775	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2023-10-18 17:38:15.148	637ms	0ms	63.4%	3.4 MB	7.3 MB	5.3 MB	5.2 KB
56	75/c1007b	3465782	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5181310)	COMPLETED	0	2023-10-18 17:38:04.468	12.6s	12s	98.7%	31.5 MB	37.5 MB	32.6 MB	32.8 MB
64	5f/94755f	3468161	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2023-10-18 17:38:17.051	564ms	0ms	98.1%	3.3 MB	7.3 MB	7.6 MB	5.2 KB
61	e1/a5442e	3467942	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SRR13500958)	COMPLETED	0	2023-10-18 17:38:15.790	8.1s	7s	125.7%	77.8 MB	118 MB	55.8 MB	50.4 MB
65	49/35e1cc	3469478	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2023-10-18 17:38:23.920	612ms	0ms	79.8%	3.4 MB	7.3 MB	4.7 MB	5.2 KB
63	1b/18e4f7	3468405	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5405022)	COMPLETED	0	2023-10-18 17:38:17.622	8.5s	9s	129.2%	78.8 MB	119.4 MB	60 MB	52.3 MB
67	12/a19d93	3470089	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2023-10-18 17:38:26.124	754ms	0ms	64.0%	3.2 MB	5.4 MB	7.4 MB	5.2 KB
66	11/ea0e58	3469736	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5743893)	COMPLETED	0	2023-10-18 17:38:24.537	9s	9s	128.2%	148.1 MB	221 MB	72 MB	67.2 MB
72	95/71f25e	3471478	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-18 17:38:33.530	5s	5s	242.3%	732.8 MB	3.7 GB	33 MB	32.7 MB
68	f5/e09df1	3470305	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5556343)	COMPLETED	0	2023-10-18 17:38:26.887	11.8s	11s	136.7%	151.4 MB	224.8 MB	113.4 MB	105.9 MB
75	52/9dd76f	3472333	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5405022)	COMPLETED	0	2023-10-18 17:38:38.512	513ms	0ms	224.7%	3.2 MB	8.7 MB	7.7 MB	405.6 KB
71	f4/0e935b	3472427	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (SRR13500958)	COMPLETED	0	2023-10-18 17:38:38.740	475ms	1s	210.1%	3.1 MB	8.7 MB	5.4 MB	221.5 KB
70	7a/2f36e8	3472671	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (SRR13500958)	COMPLETED	0	2023-10-18 17:38:39.032	484ms	0ms	224.0%	3.2 MB	8.7 MB	5.4 MB	150.1 KB
74	24/ad6b0f	3472744	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5405022)	COMPLETED	0	2023-10-18 17:38:39.220	498ms	0ms	240.0%	3.1 MB	8.7 MB	7.7 MB	295.6 KB
79	3c/5c2046	3472993	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5743893)	COMPLETED	0	2023-10-18 17:38:39.520	471ms	0ms	229.9%	3.2 MB	8.7 MB	4.8 MB	165.8 KB
77	7c/9bf7dc	3473071	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5743893)	COMPLETED	0	2023-10-18 17:38:39.727	465ms	1s	245.8%	3.1 MB	8.7 MB	4.8 MB	105.4 KB
82	b7/9fee77	3473312	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5556343)	COMPLETED	0	2023-10-18 17:38:39.997	544ms	0ms	292.1%	3.2 MB	8.7 MB	7.5 MB	113.6 KB
81	b2/1be22d	3473390	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5556343)	COMPLETED	0	2023-10-18 17:38:40.197	506ms	0ms	278.6%	3.2 MB	8.7 MB	7.5 MB	182.9 KB
86	c0/31b9db	3473641	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2023-10-18 17:38:40.546	1s	1s	121.9%	3.2 MB	5.4 MB	32.9 MB	5.2 KB
90	d8/f83083	3473980	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5181310)	COMPLETED	0	2023-10-18 17:38:41.586	880ms	1s	398.0%	3.1 MB	8.7 MB	32.9 MB	199.6 KB
89	99/1505c6	3474232	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5181310)	COMPLETED	0	2023-10-18 17:38:42.472	857ms	1s	406.7%	3.1 MB	8.7 MB	33 MB	342.2 KB
95	ec/932ec9	3474496	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2023-10-18 17:38:43.341	532ms	0ms	87.7%	3.3 MB	7.3 MB	194.7 KB	5.1 KB
100	9c/637940	3474503	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2023-10-18 17:38:43.348	606ms	0ms	98.7%	3.8 MB	9.4 MB	4.7 MB	5.6 KB
99	09/ee22f1	3474495	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2023-10-18 17:38:43.334	648ms	0ms	94.8%	3.3 MB	7.3 MB	7.6 MB	5.6 KB
91	6f/626fb0	3474970	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2023-10-18 17:38:43.881	531ms	0ms	86.0%	3.4 MB	7.3 MB	194.7 KB	5.1 KB
94	61/0b40ed	3475019	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2023-10-18 17:38:43.958	471ms	0ms	84.8%	3.4 MB	7.3 MB	194.8 KB	5.1 KB
97	b4/cd0346	3475045	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2023-10-18 17:38:43.987	471ms	0ms	98.7%	3.3 MB	7.3 MB	194.7 KB	5.1 KB
92	1d/2365bf	3475528	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2023-10-18 17:38:44.417	570ms	0ms	99.8%	3.4 MB	7.3 MB	5.3 MB	5.6 KB
101	59/8747f1	3475546	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2023-10-18 17:38:44.433	632ms	0ms	96.4%	3.4 MB	7.3 MB	7.4 MB	5.6 KB
98	4c/dfa063	3475992	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2023-10-18 17:38:44.991	465ms	0ms	82.1%	3.5 MB	7.3 MB	194.7 KB	5.1 KB
